,Age,Gender,Education Level,Job Title,Years of Experience,Salary
96,47,1.0,4.0,Research Scientist,22.0,160000
97,26,1.0,2.0,Junior Software Developer,1.0,35000
98,38,2.0,3.0,Public Relations Manager,10.0,90000
99,45,1.0,2.0,Operations Analyst,20.0,110000
100,31,2.0,2.0,Event Coordinator,5.0,45000
101,35,1.0,3.0,Product Marketing Manager,8.0,95000
102,49,2.0,3.0,Senior HR Manager,19.0,150000
103,33,1.0,2.0,Junior Web Developer,5.0,50000
104,39,2.0,3.0,Senior Project Coordinator,13.0,80000
105,44,1.0,4.0,Chief Data Officer,16.0,220000
106,30,2.0,2.0,Digital Content Producer,3.0,50000
107,36,1.0,2.0,IT Support Specialist,7.0,60000
108,41,2.0,3.0,Senior Marketing Analyst,14.0,100000
109,28,1.0,2.0,Customer Success Manager,2.0,40000
110,42,2.0,3.0,Senior Graphic Designer,15.0,110000
111,37,1.0,2.0,Software Project Manager,9.0,95000
112,50,2.0,2.0,Supply Chain Analyst,22.0,130000
113,32,1.0,3.0,Senior Business Analyst,6.0,90000
114,23,2.0,2.0,Junior Marketing Analyst,0.5,35000
115,31,1.0,3.0,Senior Financial Analyst,6.0,95000
116,40,2.0,2.0,Office Manager,15.0,65000
117,48,1.0,4.0,Principal Engineer,20.0,170000
118,29,2.0,2.0,Junior HR Generalist,3.0,45000
119,35,1.0,3.0,Senior Product Manager,10.0,120000
120,42,2.0,2.0,Sales Manager,17.0,100000
121,53,1.0,3.0,Director of Marketing,25.0,180000
122,33,2.0,2.0,Junior Operations Analyst,5.0,50000
123,38,1.0,2.0,Customer Service Manager,11.0,80000
124,44,2.0,4.0,Senior Scientist,16.0,140000
125,26,1.0,2.0,Junior Accountant,2.0,40000
126,37,2.0,3.0,Senior HR Generalist,9.0,95000
127,45,1.0,2.0,Sales Operations Manager,18.0,110000
128,32,2.0,2.0,Marketing Coordinator,4.0,50000
129,34,1.0,3.0,Senior Software Developer,8.0,105000
130,50,2.0,3.0,Director of Operations,21.0,160000
131,29,1.0,2.0,Junior Web Designer,3.0,45000
132,40,2.0,3.0,Senior Training Specialist,12.0,100000
133,47,1.0,4.0,Senior Research Scientist,22.0,160000
134,27,1.0,2.0,Junior Sales Representative,1.0,35000
135,39,2.0,2.0,Administrative Assistant,10.0,55000
136,46,1.0,3.0,Senior Project Manager,19.0,140000
137,30,2.0,2.0,Junior Marketing Manager,4.0,50000
138,36,1.0,2.0,Junior Data Analyst,7.0,60000
139,43,2.0,3.0,Senior Product Marketing Manager,14.0,120000
140,28,1.0,2.0,Junior Business Analyst,2.0,40000
141,41,2.0,3.0,Senior Marketing Manager,13.0,110000
142,33,1.0,2.0,Junior Software Developer,5.0,50000
143,47,1.0,2.0,Senior Sales Manager,20.0,135000
144,25,2.0,3.0,Junior Marketing Specialist,1.5,40000
145,34,1.0,2.0,Senior Business Analyst,8.0,90000
146,42,2.0,4.0,Senior Data Scientist,16.0,150000
147,31,1.0,2.0,Junior Project Manager,4.0,60000
148,38,2.0,2.0,Senior Accountant,10.0,80000
149,45,1.0,3.0,Director of Sales,19.0,175000
150,29,2.0,2.0,Junior Recruiter,3.0,45000
151,36,1.0,3.0,Senior Business Development Manager,11.0,120000
152,43,2.0,4.0,Senior Product Designer,18.0,140000
153,26,1.0,2.0,Junior Customer Support Specialist,2.0,35000
154,37,2.0,3.0,Senior Marketing Analyst,9.0,95000
155,44,1.0,2.0,Senior IT Support Specialist,14.0,110000
156,32,2.0,2.0,Junior Financial Analyst,5.0,50000
157,33,1.0,3.0,Senior Operations Manager,7.0,115000
158,51,2.0,4.0,Director of Human Resources,23.0,185000
159,28,1.0,2.0,Junior Software Engineer,2.0,40000
160,39,2.0,2.0,Senior Sales Representative,12.0,90000
161,48,1.0,3.0,Director of Product Management,21.0,175000
162,30,2.0,2.0,Junior Copywriter,3.0,45000
163,35,1.0,2.0,Senior Marketing Coordinator,7.0,80000
164,41,2.0,3.0,Senior Human Resources Manager,13.0,120000
165,27,1.0,2.0,Junior Business Development Associate,1.5,35000
166,40,2.0,2.0,Senior Account Manager,14.0,110000
167,46,1.0,4.0,Senior Researcher,18.0,150000
168,31,2.0,2.0,Junior HR Coordinator,4.0,50000
169,34,1.0,3.0,Senior Software Engineer,9.0,105000
170,50,2.0,3.0,Director of Finance,20.0,180000
171,29,1.0,2.0,Junior Marketing Coordinator,2.0,40000
172,43,1.0,2.0,Senior Project Manager,16.0,140000
173,26,2.0,3.0,Junior Data Scientist,1.5,45000
174,35,1.0,2.0,Senior Operations Analyst,7.0,85000
175,42,2.0,4.0,Senior Marketing Manager,18.0,140000
176,31,1.0,2.0,Junior Accountant,4.0,50000
177,38,2.0,2.0,Senior Human Resources Coordinator,10.0,80000
178,46,1.0,3.0,Director of Operations,20.0,170000
179,29,2.0,2.0,Junior Sales Representative,2.0,40000
180,37,1.0,3.0,Senior Business Analyst,9.0,105000
181,44,2.0,4.0,Senior UX Designer,15.0,145000
182,27,1.0,2.0,Junior Product Manager,2.0,40000
183,36,2.0,2.0,Senior Marketing Specialist,8.0,85000
184,43,1.0,2.0,Senior IT Project Manager,14.0,130000
185,33,2.0,3.0,Senior Financial Analyst,6.0,95000
186,34,1.0,2.0,Senior Quality Assurance Analyst,9.0,100000
187,50,2.0,4.0,Director of Sales and Marketing,22.0,180000
188,28,1.0,2.0,Junior Operations Analyst,1.5,35000
189,39,2.0,2.0,Senior Account Executive,12.0,95000
190,47,1.0,3.0,Director of Business Development,19.0,170000
191,30,2.0,2.0,Junior Social Media Manager,3.0,45000
192,34,1.0,2.0,Senior Product Manager,7.0,95000
193,40,2.0,3.0,Senior Human Resources Specialist,13.0,120000
194,28,1.0,2.0,Junior Business Analyst,2.0,40000
195,41,2.0,2.0,Senior Marketing Coordinator,11.0,90000
196,45,1.0,4.0,Senior Data Analyst,17.0,155000
197,32,2.0,2.0,Junior Account Manager,5.0,55000
198,35,1.0,3.0,Senior Software Developer,9.0,110000
199,49,2.0,3.0,Director of Human Capital,21.0,180000
200,30,1.0,2.0,Junior Advertising Coordinator,3.0,45000
201,44,1.0,2.0,Senior Sales Manager,16.0,130000
202,27,2.0,3.0,Junior UX Designer,1.5,45000
203,36,1.0,2.0,Senior Accountant,7.0,90000
204,41,2.0,4.0,Senior Marketing Director,17.0,160000
205,31,1.0,2.0,Junior HR Generalist,4.0,50000
206,39,2.0,2.0,Senior Operations Manager,10.0,120000
207,47,1.0,3.0,Director of Finance,20.0,170000
208,30,2.0,2.0,Junior Marketing Coordinator,2.0,40000
209,38,1.0,3.0,Senior IT Consultant,9.0,110000
210,45,2.0,4.0,Senior Product Designer,15.0,150000
211,28,1.0,2.0,Junior Business Development Associate,2.0,40000
212,35,2.0,2.0,Senior Marketing Analyst,8.0,85000
213,44,1.0,2.0,Senior Software Engineer,14.0,130000
214,34,2.0,3.0,Senior Financial Advisor,6.0,100000
215,35,1.0,2.0,Senior Project Coordinator,9.0,95000
216,50,2.0,4.0,Director of Operations,22.0,180000
217,29,1.0,2.0,Junior Business Operations Analyst,1.5,35000
218,40,2.0,2.0,Senior Sales Representative,12.0,100000
219,48,1.0,3.0,Director of Marketing,19.0,170000
220,31,2.0,2.0,Junior Social Media Specialist,3.0,45000
221,33,1.0,2.0,Senior Product Development Manager,7.0,100000
222,42,2.0,3.0,Senior Human Resources Manager,13.0,140000
223,28,1.0,2.0,Junior Financial Analyst,2.0,40000
224,40,2.0,2.0,Senior Marketing Manager,11.0,105000
225,46,1.0,4.0,Senior Data Scientist,18.0,160000
226,33,2.0,2.0,Junior Operations Manager,5.0,70000
227,37,1.0,3.0,Senior Software Architect,9.0,120000
228,51,2.0,3.0,Director of Human Resources,21.0,190000
229,30,1.0,2.0,Junior Marketing Specialist,3.0,45000
230,43,1.0,2.0,Senior Project Manager,15.0,120000
231,27,2.0,3.0,Junior Research Scientist,1.5,50000
232,35,1.0,2.0,Senior Operations Analyst,8.0,85000
233,42,2.0,4.0,Senior Marketing Manager,13.0,140000
234,32,1.0,2.0,Junior Sales Representative,3.0,45000
235,37,2.0,2.0,Senior Financial Analyst,9.0,100000
236,45,1.0,3.0,Senior Software Developer,16.0,140000
237,33,2.0,2.0,Junior Operations Analyst,5.0,70000
238,39,1.0,2.0,Senior Marketing Specialist,10.0,120000
239,44,2.0,4.0,Senior HR Manager,18.0,160000
240,29,1.0,2.0,Junior Business Analyst,1.5,40000
241,38,2.0,2.0,Senior Product Manager,10.0,120000
242,46,1.0,4.0,Senior Data Analyst,19.0,150000
243,34,2.0,2.0,Junior Marketing Analyst,6.0,70000
244,36,1.0,2.0,Senior Operations Manager,8.0,95000
245,49,2.0,3.0,Director of Marketing,21.0,180000
246,31,1.0,2.0,Junior Financial Analyst,3.0,50000
247,41,2.0,2.0,Senior Project Coordinator,11.0,95000
248,47,1.0,3.0,Director of Operations,20.0,170000
249,30,2.0,2.0,Junior Marketing Coordinator,2.0,40000
250,38,1.0,3.0,Senior IT Consultant,9.0,110000
251,45,2.0,4.0,Senior Product Designer,15.0,150000
252,28,1.0,2.0,Junior Business Development Associate,2.0,40000
253,35,2.0,2.0,Senior Marketing Analyst,8.0,85000
254,44,1.0,2.0,Senior Software Engineer,14.0,130000
255,34,2.0,3.0,Senior Financial Advisor,6.0,100000
256,35,1.0,2.0,Senior Project Coordinator,9.0,95000
257,50,2.0,4.0,Director of Operations,22.0,180000
258,29,1.0,2.0,Junior Business Operations Analyst,1.5,350
259,37,2.0,2.0,Senior Financial Manager,10.0,120000
260,46,1.0,4.0,Senior Data Scientist,18.0,160000
261,31,2.0,2.0,Junior Marketing Coordinator,3.0,50000
262,42,1.0,2.0,Senior Operations Manager,12.0,110000
263,29,2.0,2.0,Junior Sales Representative,1.5,40000
264,36,1.0,2.0,Senior Marketing Specialist,8.0,95000
265,44,2.0,3.0,Senior HR Specialist,15.0,140000
266,33,1.0,2.0,Junior Operations Manager,4.0,60000
267,39,2.0,2.0,Senior Marketing Coordinator,9.0,110000
268,45,1.0,4.0,Senior Data Engineer,16.0,150000
269,32,2.0,2.0,Junior Marketing Manager,4.0,60000
270,37,1.0,2.0,Senior Financial Analyst,8.0,90000
271,47,2.0,3.0,Director of Marketing,20.0,180000
272,30,1.0,2.0,Junior Business Analyst,2.0,40000
273,38,2.0,2.0,Senior Project Manager,9.0,120000
274,46,1.0,4.0,Senior Data Analyst,17.0,160000
275,34,2.0,2.0,Junior Financial Analyst,5.0,70000
276,36,1.0,2.0,Senior Product Manager,8.0,95000
277,49,2.0,3.0,Director of Operations,21.0,180000
278,31,1.0,2.0,Junior Operations Analyst,3.0,50000
279,41,2.0,2.0,Senior Project Coordinator,11.0,95000
280,47,1.0,3.0,Director of Marketing,19.0,170000
281,29,2.0,2.0,Junior Business Development Associate,1.5,35000
282,35,1.0,2.0,Senior Financial Manager,9.0,100000
283,44,2.0,4.0,Senior Product Designer,15.0,150000
284,33,1.0,2.0,Junior Business Analyst,4.0,60000
285,35,2.0,2.0,Senior Marketing Analyst,8.0,85000
286,44,1.0,2.0,Senior Software Engineer,13.0,130000
287,32,1.0,2.0,Junior Product Manager,4.0,65000
288,38,2.0,2.0,Senior Business Analyst,10.0,110000
289,49,1.0,4.0,Director of Operations,21.0,180000
290,29,2.0,2.0,Junior Marketing Specialist,2.0,40000
291,35,1.0,2.0,Senior Business Development Manager,7.0,90000
292,45,2.0,3.0,Senior HR Manager,14.0,140000
293,33,1.0,2.0,Junior Financial Analyst,4.0,60000
294,40,2.0,2.0,Senior Marketing Manager,12.0,130000
295,44,1.0,4.0,Senior Data Scientist,16.0,160000
296,30,2.0,2.0,Junior Operations Coordinator,2.0,40000
297,37,1.0,2.0,Senior Marketing Analyst,9.0,100000
298,48,2.0,3.0,Director of HR,20.0,180000
299,31,1.0,2.0,Junior Project Manager,3.0,55000
300,38,2.0,2.0,Senior Operations Coordinator,9.0,120000
301,45,1.0,4.0,Senior Data Engineer,16.0,150000
302,33,2.0,2.0,Junior Marketing Manager,5.0,70000
303,36,1.0,2.0,Senior Business Analyst,8.0,95000
304,49,2.0,3.0,Director of Marketing,21.0,180000
305,31,1.0,2.0,Junior Operations Analyst,3.0,50000
306,42,2.0,2.0,Senior Project Manager,12.0,120000
307,47,1.0,3.0,Director of Marketing,19.0,170000
308,29,2.0,2.0,Junior Business Development Associate,1.5,35000
309,35,1.0,2.0,Senior Financial Manager,9.0,100000
310,44,2.0,4.0,Senior Product Designer,15.0,150000
311,33,1.0,2.0,Junior Business Analyst,4.0,60000
312,35,2.0,2.0,Senior Marketing Analyst,8.0,85000
313,44,1.0,2.0,Senior Software Engineer,13.0,130000
314,34,2.0,3.0,Senior Financial Advisor,6.0,80000
315,36,1.0,2.0,Senior Marketing Specialist,8.0,95000
316,30,2.0,2.0,Junior HR Coordinator,2.0,40000
317,37,1.0,2.0,Senior Business Development Manager,10.0,120000
318,45,2.0,3.0,Senior Marketing Manager,16.0,160000
319,32,1.0,2.0,Junior Financial Advisor,4.0,65000
320,39,2.0,2.0,Senior Project Manager,12.0,130000
321,47,1.0,4.0,Director of Engineering,20.0,180000
322,29,2.0,2.0,Junior Marketing Analyst,2.0,40000
323,36,1.0,2.0,Senior Operations Manager,9.0,100000
324,43,2.0,4.0,Senior Data Scientist,15.0,150000
325,32,1.0,2.0,Junior Marketing Coordinator,3.0,55000
326,38,2.0,2.0,Senior Business Analyst,10.0,110000
327,48,1.0,3.0,Director of Marketing,21.0,180000
328,31,2.0,2.0,Junior Business Development Associate,3.0,50000
329,40,1.0,2.0,Senior Financial Analyst,12.0,130000
330,45,2.0,4.0,Senior UX Designer,16.0,160000
331,33,1.0,2.0,Junior Product Manager,4.0,60000
332,36,2.0,2.0,Senior Marketing Manager,8.0,95000
333,47,1.0,3.0,Director of Operations,19.0,170000
334,29,2.0,2.0,Junior Project Manager,2.0,40000
335,34,1.0,2.0,Senior Operations Coordinator,7.0,90000
336,44,2.0,4.0,Senior Business Analyst,15.0,150000
337,33,1.0,2.0,Junior Marketing Specialist,5.0,70000
338,35,2.0,2.0,Senior Financial Manager,8.0,90000
339,43,1.0,3.0,Director of Marketing,18.0,170000
340,31,2.0,2.0,Junior Financial Analyst,3.0,50000
341,41,1.0,2.0,Senior Product Manager,14.0,150000
342,44,2.0,4.0,Senior Data Engineer,16.0,160000
343,33,1.0,2.0,Junior Business Analyst,4.0,60000
344,35,2.0,2.0,Senior Marketing Analyst,8.0,85000
345,45,1.0,3.0,Director of Engineering,19.0,180000
346,28,2.0,2.0,Junior Operations Manager,1.0,35000
347,36,1.0,2.0,Senior Business Development Manager,8.0,110000
348,44,2.0,4.0,Senior Data Scientist,16.0,160000
349,31,1.0,2.0,Junior Marketing Coordinator,3.0,55000
350,38,2.0,2.0,Senior Business Analyst,10.0,110000
351,48,1.0,3.0,Director of Marketing,21.0,180000
352,31,2.0,2.0,Junior Business Development Associate,3.0,50000
353,40,1.0,2.0,Senior Financial Analyst,12.0,130000
354,45,2.0,4.0,Senior UX Designer,16.0,160000
355,33,1.0,2.0,Junior Product Manager,4.0,60000
356,36,2.0,2.0,Senior Marketing Manager,8.0,95000
357,47,1.0,3.0,Director of Operations,19.0,170000
358,29,2.0,2.0,Junior Project Manager,2.0,40000
359,34,1.0,2.0,Senior Operations Coordinator,7.0,90000
360,44,2.0,4.0,Senior Business Analyst,15.0,150000
361,33,1.0,2.0,Junior Marketing Specialist,5.0,70000
362,35,2.0,2.0,Senior Financial Manager,8.0,90000
363,43,1.0,3.0,Director of Marketing,18.0,170000
364,31,2.0,2.0,Junior Financial Analyst,3.0,50000
365,41,1.0,2.0,Senior Product Manager,14.0,150000
366,44,2.0,4.0,Senior Data Engineer,16.0,160000
367,33,1.0,2.0,Junior Business Analyst,4.0,60000
368,35,2.0,2.0,Senior Marketing Analyst,8.0,85000
369,43,1.0,3.0,Director of Operations,19.0,170000
370,29,2.0,2.0,Junior Project Manager,2.0,40000
371,34,1.0,2.0,Senior Operations Coordinator,7.0,90000
372,44,2.0,4.0,Senior Business Analyst,15.0,150000
373,31,1.0,3.0,Data Scientist,6.0,160000
374,28,2.0,2.0,Software Engineer,3.0,125000
375,26,1.0,3.0,Product Manager,2.0,120000
376,27,2.0,2.0,Data Analyst,2.0,110000
377,30,1.0,4.0,Data Scientist,5.0,180000
378,29,2.0,2.0,Software Engineer,4.0,140000
379,32,1.0,2.0,Product Manager,7.0,170000
380,25,2.0,3.0,Data Analyst,1.0,100000
381,33,1.0,4.0,Data Scientist,8.0,190000
382,31,2.0,2.0,Software Engineer,6.0,155000
383,28,1.0,3.0,Product Manager,3.0,130000
384,30,2.0,2.0,Data Analyst,5.0,145000
385,27,1.0,4.0,Data Scientist,2.0,115000
386,29,2.0,2.0,Software Engineer,4.0,140000
387,34,1.0,2.0,Product Manager,9.0,185000
388,25,2.0,3.0,Data Analyst,1.0,100000
389,33,1.0,4.0,Data Scientist,8.0,190000
390,31,2.0,2.0,Software Engineer,6.0,155000
391,28,1.0,3.0,Product Manager,3.0,130000
392,30,2.0,2.0,Data Analyst,5.0,145000
393,28,1.0,2.0,Software Engineer,3.0,125000
394,26,2.0,3.0,Product Manager,2.0,120000
395,27,1.0,2.0,Data Analyst,2.0,110000
396,30,2.0,4.0,Data Scientist,5.0,180000
397,29,1.0,2.0,Software Engineer,4.0,140000
398,32,1.0,2.0,Product Manager,7.0,170000
399,25,2.0,3.0,Data Analyst,1.0,100000
400,33,1.0,4.0,Data Scientist,8.0,190000
401,31,2.0,2.0,Software Engineer,6.0,155000
402,28,1.0,3.0,Product Manager,3.0,130000
403,30,2.0,2.0,Data Analyst,5.0,145000
404,27,1.0,4.0,Data Scientist,2.0,115000
405,29,2.0,2.0,Software Engineer,4.0,140000
406,34,1.0,2.0,Product Manager,9.0,185000
407,25,2.0,3.0,Data Analyst,1.0,100000
408,33,1.0,4.0,Data Scientist,8.0,190000
409,31,2.0,2.0,Software Engineer,6.0,155000
410,28,1.0,3.0,Product Manager,3.0,130000
411,30,2.0,2.0,Data Analyst,5.0,145000
412,28,1.0,2.0,Software Engineer,3.0,125000
413,26,2.0,3.0,Product Manager,2.0,120000
414,27,1.0,2.0,Data Analyst,2.0,110000
415,30,2.0,4.0,Data Scientist,5.0,180000
416,29,1.0,2.0,Software Engineer,4.0,140000
417,32,1.0,2.0,Product Manager,7.0,170000
418,25,2.0,3.0,Data Analyst,1.0,100000
419,33,1.0,4.0,Data Scientist,8.0,190000
420,31,2.0,2.0,Software Engineer,6.0,155000
421,28,1.0,3.0,Product Manager,3.0,130000
422,30,2.0,2.0,Data Analyst,5.0,145000
423,27,1.0,4.0,Data Scientist,2.0,115000
424,29,2.0,2.0,Software Engineer,4.0,140000
425,34,1.0,2.0,Product Manager,9.0,185000
426,25,2.0,3.0,Data Analyst,1.0,100000
427,33,1.0,4.0,Data Scientist,8.0,190000
428,31,2.0,2.0,Software Engineer,6.0,155000
429,28,1.0,3.0,Product Manager,3.0,130000
430,30,2.0,2.0,Data Analyst,5.0,145000
431,28,1.0,2.0,Software Engineer,3.0,125000
432,26,2.0,3.0,Product Manager,2.0,120000
433,27,1.0,2.0,Data Analyst,2.0,110000
434,30,2.0,4.0,Data Scientist,5.0,180000
435,29,1.0,2.0,Software Engineer,4.0,140000
436,32,1.0,2.0,Product Manager,7.0,170000
437,25,2.0,3.0,Data Analyst,1.0,100000
438,33,1.0,4.0,Data Scientist,8.0,190000
439,31,2.0,2.0,Software Engineer,6.0,155000
440,28,1.0,3.0,Product Manager,3.0,130000
441,30,2.0,2.0,Data Analyst,5.0,145000
442,27,1.0,4.0,Data Scientist,2.0,115000
443,29,2.0,2.0,Software Engineer,4.0,140000
444,34,1.0,2.0,Product Manager,9.0,185000
445,25,2.0,3.0,Data Analyst,1.0,100000
446,33,1.0,4.0,Data Scientist,8.0,190000
447,31,2.0,2.0,Software Engineer,6.0,155000
448,28,1.0,3.0,Product Manager,3.0,130000
449,30,2.0,2.0,Data Analyst,5.0,145000
450,27,1.0,4.0,Data Scientist,2.0,115000
451,29,2.0,2.0,Software Engineer,4.0,140000
452,34,1.0,2.0,Product Manager,9.0,185000
453,25,2.0,3.0,Data Analyst,1.0,100000
454,33,1.0,4.0,Data Scientist,8.0,190000
455,31,2.0,2.0,Software Engineer,6.0,155000
456,28,1.0,3.0,Product Manager,3.0,130000
457,30,2.0,2.0,Data Analyst,5.0,145000
458,28,1.0,2.0,Software Engineer,3.0,125000
459,26,2.0,3.0,Product Manager,2.0,120000
460,27,1.0,2.0,Data Analyst,2.0,110000
461,30,2.0,4.0,Data Scientist,5.0,180000
462,29,1.0,2.0,Software Engineer,4.0,140000
463,32,1.0,2.0,Product Manager,7.0,170000
464,25,2.0,3.0,Data Analyst,1.0,100000
465,33,1.0,4.0,Data Scientist,8.0,190000
466,31,2.0,2.0,Software Engineer,6.0,155000
467,28,1.0,3.0,Product Manager,3.0,130000
468,30,2.0,2.0,Data Analyst,5.0,145000
469,27,1.0,4.0,Data Scientist,2.0,115000
470,29,2.0,2.0,Software Engineer,4.0,140000
471,34,1.0,2.0,Product Manager,9.0,185000
472,25,2.0,3.0,Data Analyst,1.0,100000
473,33,1.0,4.0,Data Scientist,8.0,190000
474,31,2.0,2.0,Software Engineer,6.0,155000
475,28,1.0,3.0,Product Manager,3.0,130000
476,30,2.0,2.0,Data Analyst,5.0,145000
477,27,1.0,4.0,Data Scientist,2.0,115000
478,29,2.0,2.0,Software Engineer,4.0,140000
479,34,1.0,2.0,Product Manager,9.0,185000
480,25,2.0,3.0,Data Analyst,1.0,100000
481,33,1.0,4.0,Data Scientist,8.0,190000
482,31,2.0,2.0,Software Engineer,6.0,155000
483,28,1.0,3.0,Product Manager,3.0,130000
484,30,2.0,2.0,Data Analyst,5.0,145000
485,27,1.0,4.0,Data Scientist,2.0,115000
486,29,2.0,2.0,Software Engineer,4.0,140000
487,34,1.0,2.0,Product Manager,9.0,185000
488,25,2.0,3.0,Data Analyst,1.0,100000
489,33,1.0,4.0,Data Scientist,8.0,190000
490,31,2.0,2.0,Software Engineer,6.0,155000
491,28,1.0,3.0,Product Manager,3.0,130000
492,30,2.0,2.0,Data Analyst,5.0,145000
493,27,1.0,4.0,Data Scientist,2.0,115000
494,29,2.0,2.0,Software Engineer,4.0,140000
495,34,1.0,2.0,Product Manager,9.0,185000
496,25,2.0,3.0,Data Analyst,1.0,100000
497,33,1.0,4.0,Data Scientist,8.0,190000
498,31,2.0,2.0,Software Engineer,6.0,155000
499,28,1.0,3.0,Product Manager,3.0,130000
500,30,2.0,2.0,Data Analyst,5.0,145000
501,27,1.0,4.0,Data Scientist,2.0,115000
